Year,Location,Event,Athelete,Country,Medal,Time,TimeFormat
1932,"Lake Placid, United States",5000m Men,William Logan,CAN,BRONZE,,
1932,"Lake Placid, United States",10000m Men,Irving Jaffee,USA,GOLD,19:13.0,19:13.00
1932,"Lake Placid, United States",10000m Men,Ivar Ballangrud,NOR,SILVER,,
1932,"Lake Placid, United States",10000m Men,Frank Stack,CAN,BRONZE,,
1936,"Garmisch-Partenkirchen, Germany",500m Men,Ivar Ballangrud,NOR,GOLD,43.4,00:43.40
1936,"Garmisch-Partenkirchen, Germany",500m Men,Georg Krog,NOR,SILVER,43.5,00:43.50
1936,"Garmisch-Partenkirchen, Germany",500m Men,Leo Freisinger,USA,BRONZE,44,00:44.00
1936,"Garmisch-Partenkirchen, Germany",1500m Men,Charles Mathiesen,NOR,GOLD,02:19.0,02:19.00
1936,"Garmisch-Partenkirchen, Germany",1500m Men,Ivar Ballangrud,NOR,SILVER,02:20.0,02:20.00
1936,"Garmisch-Partenkirchen, Germany",1500m Men,Birger Wasenius,FIN,BRONZE,02:20.0,02:20.00
1936,"Garmisch-Partenkirchen, Germany",5000m Men,Ivar Ballangrud,NOR,GOLD,08:19.0,08:19.00
1936,"Garmisch-Partenkirchen, Germany",5000m Men,Birger Wasenius,FIN,SILVER,08:23.0,08:23.00
1936,"Garmisch-Partenkirchen, Germany",5000m Men,Antero Ojala,FIN,BRONZE,08:30.0,08:30.00
1936,"Garmisch-Partenkirchen, Germany",10000m Men,Ivar Ballangrud,NOR,GOLD,17:24.0,17:24.00
1936,"Garmisch-Partenkirchen, Germany",10000m Men,Birger Wasenius,FIN,SILVER,17:28.0,17:28.00
1936,"Garmisch-Partenkirchen, Germany",10000m Men,Max Stiepl,AUT,BRONZE,17:30.0,17:30.00
1948,"St. Moritz, Switzerland",500m Men,Finn Helgesen,NOR,GOLD,43.1,00:43.10
1948,"St. Moritz, Switzerland",500m Men,Ken Bartholomew,USA,SILVER,43.2,00:43.20
1948,"St. Moritz, Switzerland",500m Men,Thomas Byberg,NOR,SILVER,43.2,00:43.20
1948,"St. Moritz, Switzerland",500m Men,Robert Fitzgerald,USA,SILVER,43.2,00:43.20
1948,"St. Moritz, Switzerland",1500m Men,Sverre Farstad,NOR,GOLD,02:17.0,02:17.00
1948,"St. Moritz, Switzerland",1500m Men,Åke Seyffarth,SWE,SILVER,02:18.0,02:18.00
1948,"St. Moritz, Switzerland",1500m Men,Odd Lundberg,NOR,BRONZE,02:18.0,02:18.00
1948,"St. Moritz, Switzerland",5000m Men,Reidar Liaklev,NOR,GOLD,08:29.0,08:29.00
1948,"St. Moritz, Switzerland",5000m Men,Odd Lundberg,NOR,SILVER,08:32.0,08:32.00
1948,"St. Moritz, Switzerland",5000m Men,Göthe Hedlund,SWE,BRONZE,08:34.0,08:34.00
1948,"St. Moritz, Switzerland",10000m Men,Åke Seyffarth,SWE,GOLD,17:26.0,17:26.00
1948,"St. Moritz, Switzerland",10000m Men,Lassi Parkkinen,FIN,SILVER,17:36.0,17:36.00
1948,"St. Moritz, Switzerland",10000m Men,Pentti Lammio,FIN,BRONZE,17:42.0,17:42.00
1952,"Oslo, Norway",500m Men,Ken Henry,USA,GOLD,43.2,00:43.20
1952,"Oslo, Norway",500m Men,Donald McDermott,USA,SILVER,43.9,00:43.90
1952,"Oslo, Norway",500m Men,Arne Johansen,NOR,BRONZE,44,00:44.00
1952,"Oslo, Norway",500m Men,Gordon Audley,CAN,BRONZE,44,00:44.00
1952,"Oslo, Norway",1500m Men,Hjallis Andersen,NOR,GOLD,02:20.0,02:20.00
1952,"Oslo, Norway",1500m Men,Wim van der Voort,NED,SILVER,02:20.0,02:20.00
1952,"Oslo, Norway",1500m Men,Roald Aas,NOR,BRONZE,02:21.0,02:21.00
1952,"Oslo, Norway",5000m Men,Hjallis Andersen,NOR,GOLD,08:10.0,08:10.00
1952,"Oslo, Norway",5000m Men,Kees Broekman,NED,SILVER,08:21.0,08:21.00
1952,"Oslo, Norway",5000m Men,Sverre Haugli,NOR,BRONZE,08:22.0,08:22.00
1952,"Oslo, Norway",10000m Men,Hjallis Andersen,NOR,GOLD,16:45.0,16:45.00
1952,"Oslo, Norway",10000m Men,Kees Broekman,NED,SILVER,17:10.0,17:10.00
1952,"Oslo, Norway",10000m Men,Carl-Erik Asplund,SWE,BRONZE,17:16.0,17:16.00
1956,"Cortina d'Ampezzo, Italy",500m Men,Yevgeny Grishin,URS,GOLD,40.2,00:40.20
1956,"Cortina d'Ampezzo, Italy",500m Men,Rafael Grach,URS,SILVER,40.8,00:40.80
1956,"Cortina d'Ampezzo, Italy",500m Men,Alv Gjestvang,NOR,BRONZE,41,00:41.00
1956,"Cortina d'Ampezzo, Italy",1500m Men,Yevgeny Grishin,URS,GOLD,02:08.0,02:08.00
1956,"Cortina d'Ampezzo, Italy",1500m Men,Yury Mikhaylov,URS,GOLD,02:08.0,02:08.00
1956,"Cortina d'Ampezzo, Italy",1500m Men,Toivo Salonen,FIN,BRONZE,02:09.0,02:09.00
1956,"Cortina d'Ampezzo, Italy",5000m Men,Boris Shilkov,URS,GOLD,07:48.0,07:48.00
1956,"Cortina d'Ampezzo, Italy",5000m Men,Sigge Ericsson,SWE,SILVER,07:56.0,07:56.00
1956,"Cortina d'Ampezzo, Italy",5000m Men,Oleg Goncharenko,URS,BRONZE,07:57.0,07:57.00
1956,"Cortina d'Ampezzo, Italy",10000m Men,Sigge Ericsson,SWE,GOLD,16:35.0,16:35.00
1956,"Cortina d'Ampezzo, Italy",10000m Men,Knut Johannesen,NOR,SILVER,16:36.0,16:36.00
1956,"Cortina d'Ampezzo, Italy",10000m Men,Oleg Goncharenko,URS,BRONZE,16:42.0,16:42.00
1960,"Squaw Valley, United States",500m Men,Yevgeny Grishin,URS,GOLD,40.2,00:40.20
1960,"Squaw Valley, United States",500m Men,William Disney,USA,SILVER,40.3,00:40.30
1960,"Squaw Valley, United States",500m Men,Rafael Grach,URS,BRONZE,40.4,00:40.40
1960,"Squaw Valley, United States",1500m Men,Yevgeny Grishin,URS,GOLD,02:10.0,02:10.00
1960,"Squaw Valley, United States",1500m Men,Roald Aas,NOR,GOLD,02:10.0,02:10.00
1960,"Squaw Valley, United States",1500m Men,Boris Stenin,URS,BRONZE,02:11.0,02:11.00
1960,"Squaw Valley, United States",5000m Men,Viktor Kosichkin,URS,GOLD,07:51.0,07:51.00
1960,"Squaw Valley, United States",5000m Men,Knut Johannesen,NOR,SILVER,08:00.0,08:00.00
1960,"Squaw Valley, United States",5000m Men,Jan Pesman,NED,BRONZE,08:05.0,08:05.00
1960,"Squaw Valley, United States",10000m Men,Knut Johannesen,NOR,GOLD,15:46.0,15:46.00
1960,"Squaw Valley, United States",10000m Men,Viktor Kosichkin,URS,SILVER,15:49.0,15:49.00
1960,"Squaw Valley, United States",10000m Men,Kjell Båckman,SWE,BRONZE,16:14.0,16:14.00
1960,"Squaw Valley, United States",500m Women,Helga Haase,GER,GOLD,45.9,00:45.90
1960,"Squaw Valley, United States",500m Women,Natalya Donchenko,URS,SILVER,46,00:46.00
1960,"Squaw Valley, United States",500m Women,Jeanne Ashworth,USA,BRONZE,46.1,00:46.10
1960,"Squaw Valley, United States",1000m Women,Klara Guseva,URS,GOLD,01:34.0,01:34.00
1960,"Squaw Valley, United States",1000m Women,Helga Haase,GER,SILVER,01:34.0,01:34.00
1960,"Squaw Valley, United States",1000m Women,Tamara Rylova,URS,BRONZE,01:34.0,01:34.00
1960,"Squaw Valley, United States",1500m Women,Lidiya Skoblikova,URS,GOLD,02:25.0,02:25.00
1960,"Squaw Valley, United States",1500m Women,Elvira Seroczynska,POL,SILVER,02:25.0,02:25.00
1960,"Squaw Valley, United States",1500m Women,Helena Pilejczykowa,POL,BRONZE,02:27.0,02:27.00
1960,"Squaw Valley, United States",3000m Women,Lidiya Skoblikova,URS,GOLD,05:14.0,05:14.00
1960,"Squaw Valley, United States",3000m Women,Valentina Stenina,URS,SILVER,05:16.0,05:16.00
1960,"Squaw Valley, United States",3000m Women,Eevi Huttunen,FIN,BRONZE,05:21.0,05:21.00
1964,"Innsbruck, Austria",500m Men,Terry McDermott,USA,GOLD,40.1,00:40.10
1964,"Innsbruck, Austria",500m Men,Vladimir Orlov,URS,SILVER,40.6,00:40.60
1964,"Innsbruck, Austria",500m Men,Alv Gjestvang,NOR,SILVER,40.6,00:40.60
1964,"Innsbruck, Austria",500m Men,Yevgeny Grishin,URS,SILVER,40.6,00:40.60
1964,"Innsbruck, Austria",1500m Men,Ants Antson,URS,GOLD,02:10.0,02:10.00
1964,"Innsbruck, Austria",1500m Men,Kees Verkerk,NED,SILVER,02:10.0,02:10.00
1964,"Innsbruck, Austria",1500m Men,Villy Haugen,NOR,BRONZE,02:11.0,02:11.00
1964,"Innsbruck, Austria",5000m Men,Knut Johannesen,NOR,GOLD,07:38.0,07:38.00
1964,"Innsbruck, Austria",5000m Men,Per Ivar Moe,NOR,SILVER,07:38.0,07:38.00
1964,"Innsbruck, Austria",5000m Men,Fred Anton Maier,NOR,BRONZE,07:42.0,07:42.00
1964,"Innsbruck, Austria",10000m Men,Jonny Nilsson,SWE,GOLD,15:50.0,15:50.00
1964,"Innsbruck, Austria",10000m Men,Fred Anton Maier,NOR,SILVER,16:06.0,16:06.00
1964,"Innsbruck, Austria",10000m Men,Knut Johannesen,NOR,BRONZE,16:06.0,16:06.00
1964,"Innsbruck, Austria",500m Women,Lidiya Skoblikova,URS,GOLD,45,00:45.00
1964,"Innsbruck, Austria",500m Women,Irina Yegorova,URS,SILVER,45.4,00:45.40
1964,"Innsbruck, Austria",500m Women,Tatyana Sidorova,URS,BRONZE,45.5,00:45.50
1964,"Innsbruck, Austria",1000m Women,Lidiya Skoblikova,URS,GOLD,01:33.0,01:33.00
1964,"Innsbruck, Austria",1000m Women,Irina Yegorova,URS,SILVER,01:34.0,01:34.00
1964,"Innsbruck, Austria",1000m Women,Kaija Mustonen,FIN,BRONZE,01:34.0,01:34.00
1964,"Innsbruck, Austria",1500m Women,Lidiya Skoblikova,URS,GOLD,02:22.0,02:22.00
1964,"Innsbruck, Austria",1500m Women,Kaija Mustonen,FIN,SILVER,02:25.0,02:25.00
1964,"Innsbruck, Austria",1500m Women,Berta Kolokoltseva,URS,BRONZE,02:27.0,02:27.00
1964,"Innsbruck, Austria",3000m Women,Lidiya Skoblikova,URS,GOLD,05:14.0,05:14.00
1964,"Innsbruck, Austria",3000m Women,Valentina Stenina,URS,SILVER,05:18.0,05:18.00
1964,"Innsbruck, Austria",3000m Women,Pil-Hwa Han,PRK,SILVER,05:18.0,05:18.00
1968,"Grenoble, France",500m Men,Erhard Keller,FRG,GOLD,40.3,00:40.30
1968,"Grenoble, France",500m Men,Terry McDermott,USA,SILVER,40.5,00:40.50
1968,"Grenoble, France",500m Men,Magne Thomassen,NOR,SILVER,40.5,00:40.50
1968,"Grenoble, France",1500m Men,Kees Verkerk,NED,GOLD,02:03.0,02:03.00
1968,"Grenoble, France",1500m Men,Ard Schenk,NED,SILVER,02:05.0,02:05.00
1968,"Grenoble, France",1500m Men,Ivar Eriksen,NOR,SILVER,02:05.0,02:05.00
1968,"Grenoble, France",5000m Men,Fred Anton Maier,NOR,GOLD,07:22.0,07:22.00
1968,"Grenoble, France",5000m Men,Kees Verkerk,NED,SILVER,07:23.0,07:23.00
1968,"Grenoble, France",5000m Men,Peter Nottet,NED,BRONZE,07:25.0,07:25.00
1968,"Grenoble, France",10000m Men,Johnny Höglin,SWE,GOLD,15:23.0,15:23.00
1968,"Grenoble, France",10000m Men,Fred Anton Maier,NOR,SILVER,15:23.0,15:23.00
1968,"Grenoble, France",10000m Men,Örjan Sandler,SWE,BRONZE,15:31.0,15:31.00
1968,"Grenoble, France",500m Women,Lyudmila Titova,URS,GOLD,46.1,00:46.10
1968,"Grenoble, France",500m Women,Mary Meyers,USA,SILVER,46.3,00:46.30
1968,"Grenoble, France",500m Women,Dianne Holum,USA,SILVER,46.3,00:46.30
1968,"Grenoble, France",500m Women,Jennifer Fish,USA,SILVER,46.3,00:46.30
1968,"Grenoble, France",1000m Women,Carry Geijssen,NED,GOLD,01:32.0,01:32.00
1968,"Grenoble, France",1000m Women,Lyudmila Titova,URS,SILVER,01:32.0,01:32.00
1968,"Grenoble, France",1000m Women,Dianne Holum,USA,BRONZE,01:33.0,01:33.00
1968,"Grenoble, France",1500m Women,Kaija Mustonen,FIN,GOLD,02:22.0,02:22.00
1968,"Grenoble, France",1500m Women,Carry Geijssen,NED,SILVER,02:22.0,02:22.00
1968,"Grenoble, France",1500m Women,Stien Baas-Kaiser,NED,BRONZE,02:24.0,02:24.00
1968,"Grenoble, France",3000m Women,Ans Schut,NED,GOLD,04:56.0,04:56.00
1968,"Grenoble, France",3000m Women,Kaija Mustonen,FIN,SILVER,05:01.0,05:01.00
1968,"Grenoble, France",3000m Women,Stien Baas-Kaiser,NED,BRONZE,05:01.0,05:01.00
1972,"Sapporo, Japan",500m Men,Erhard Keller,FRG,GOLD,39.44,00:39.44
1972,"Sapporo, Japan",500m Men,Hasse Börjes,SWE,SILVER,39.69,00:39.69
1972,"Sapporo, Japan",500m Men,Valery Muratov,URS,BRONZE,39.8,00:38.80
1972,"Sapporo, Japan",1500m Men,Ard Schenk,NED,GOLD,2:02.96,02:02.96
1972,"Sapporo, Japan",1500m Men,Roar Grønvold,NOR,SILVER,2:04.26,02:04.26
1972,"Sapporo, Japan",1500m Men,Göran Clæsson,SWE,BRONZE,2:05.89,02:05.89
1972,"Sapporo, Japan",5000m Men,Ard Schenk,NED,GOLD,7:23.61,07:23.61
1972,"Sapporo, Japan",5000m Men,Roar Grønvold,NOR,SILVER,7:28.18,07:28.18
1972,"Sapporo, Japan",5000m Men,Sten Stensen,NOR,BRONZE,7:33.39,07:33.39
1972,"Sapporo, Japan",10000m Men,Ard Schenk,NED,GOLD,15:01.35,15:01.35
1972,"Sapporo, Japan",10000m Men,Kees Verkerk,NED,SILVER,15:04.70,15:04.70
1972,"Sapporo, Japan",10000m Men,Sten Stensen,NOR,BRONZE,15:07.08,15:07.08
1972,"Sapporo, Japan",500m Women,Anne Henning,USA,GOLD,43.33,00:43.33
1972,"Sapporo, Japan",500m Women,Vera Krasnova,URS,SILVER,44.01,00:44.01
1972,"Sapporo, Japan",500m Women,Lyudmila Titova,URS,BRONZE,44.45,00:44.45
1972,"Sapporo, Japan",1000m Women,Monika Pflug,FRG,GOLD,1:31.40,01:31.40
1972,"Sapporo, Japan",1000m Women,Atje Keulen-Deelstra,NED,SILVER,1:31.61,01:31.61
1972,"Sapporo, Japan",1000m Women,Anne Henning,USA,BRONZE,1:31.62,01:31.62
1972,"Sapporo, Japan",1500m Women,Dianne Holum,USA,GOLD,2:20.85,02:20.85
1972,"Sapporo, Japan",1500m Women,Stien Baas-Kaiser,NED,SILVER,2:21.05,02:21.05
1972,"Sapporo, Japan",1500m Women,Atje Keulen-Deelstra,NED,BRONZE,2:22.05,02:22.05
1972,"Sapporo, Japan",3000m Women,Stien Baas-Kaiser,NED,GOLD,4:52.14,04:52.14
1972,"Sapporo, Japan",3000m Women,Dianne Holum,USA,SILVER,4:58.67,04:58.67
1972,"Sapporo, Japan",3000m Women,Atje Keulen-Deelstra,NED,BRONZE,4:59.91,04:59.91
1976,"Innsbruck, Austria",500m Men,Yevgeny Kulikov,URS,GOLD,39.17,00:39.17
1976,"Innsbruck, Austria",500m Men,Valery Muratov,URS,SILVER,39.25,00:38.25
1976,"Innsbruck, Austria",500m Men,Daniel Immerfall,USA,BRONZE,39.54,00:39.54
1976,"Innsbruck, Austria",1000m Men,Peter Mueller,USA,GOLD,1:19.32,01:19.32
1976,"Innsbruck, Austria",1000m Men,Jørn Didriksen,NOR,SILVER,1:20.45,01:20.45
1976,"Innsbruck, Austria",1000m Men,Valery Muratov,URS,BRONZE,1:20.57,01:20.57
1976,"Innsbruck, Austria",1500m Men,Jan Egil Storholt,NOR,GOLD,1:59.38,01:59.38
1976,"Innsbruck, Austria",1500m Men,Yuri Kondakov,URS,SILVER,1:59.97,01:59.97
1976,"Innsbruck, Austria",1500m Men,Hans van Helden,NED,BRONZE,2:00.87,02:00.87
1976,"Innsbruck, Austria",5000m Men,Sten Stensen,NOR,GOLD,7:24.48,07:24.48
1976,"Innsbruck, Austria",5000m Men,Piet Kleine,NED,SILVER,7:26.47,07:26.47
1976,"Innsbruck, Austria",5000m Men,Hans van Helden,NED,BRONZE,7:26.54,07:26.54
1976,"Innsbruck, Austria",10000m Men,Piet Kleine,NED,GOLD,14:50.59,14:50.59
1976,"Innsbruck, Austria",10000m Men,Sten Stensen,NOR,SILVER,14:53.30,14:53.30
1976,"Innsbruck, Austria",10000m Men,Hans van Helden,NED,BRONZE,15:02.02,15:02.02
1976,"Innsbruck, Austria",500m Women,Sheila Young,USA,GOLD,42.76,00:42.76
1976,"Innsbruck, Austria",500m Women,Cathy Priestner,CAN,SILVER,43.12,00:43.12
1976,"Innsbruck, Austria",500m Women,Tatyana Averina,URS,BRONZE,43.17,00:43.17
1976,"Innsbruck, Austria",1000m Women,Tatyana Averina,URS,GOLD,1:28.43,01:28.43
1976,"Innsbruck, Austria",1000m Women,Leah Poulos-Mueller,USA,SILVER,1:28.57,01:28.57
1976,"Innsbruck, Austria",1000m Women,Sheila Young,USA,BRONZE,1:29.14,01:29.14
1976,"Innsbruck, Austria",1500m Women,Galina Stepanskaya,URS,GOLD,2:16.58,02:16.58
1976,"Innsbruck, Austria",1500m Women,Sheila Young,USA,SILVER,2:17.06,02:17.06
1976,"Innsbruck, Austria",1500m Women,Tatyana Averina,URS,BRONZE,2:17.96,02:17.96
1976,"Innsbruck, Austria",3000m Women,Tatyana Averina,URS,GOLD,4:45.19,04:45.19
1976,"Innsbruck, Austria",3000m Women,Andrea Schöne,GDR,SILVER,4:45.23,04:45.23
1976,"Innsbruck, Austria",3000m Women,Lisbeth Korsmo-Berg,NOR,BRONZE,4:45.24,04:45.24
1980,"Lake Placid, United States",500m Men,Eric Heiden,USA,GOLD,38.03,00:38.03
1980,"Lake Placid, United States",500m Men,Yevgeny Kulikov,URS,SILVER,38.37,00:38.37
1980,"Lake Placid, United States",500m Men,Lieuwe de Boer,NED,BRONZE,38.48,00:38.48
1980,"Lake Placid, United States",1000m Men,Eric Heiden,USA,GOLD,1:15.18,1:15.18
1980,"Lake Placid, United States",1000m Men,Gaétan Boucher,CAN,SILVER,1:16.68,1:16.68
1980,"Lake Placid, United States",1000m Men,Vladimir Lobanov,URS,BRONZE,1:16.91,1:16.91
1980,"Lake Placid, United States",1000m Men,Frode Rønning,NOR,BRONZE,1:16.91,1:16.91
1980,"Lake Placid, United States",1500m Men,Eric Heiden,USA,GOLD,1:55.44,1:55.44
1980,"Lake Placid, United States",1500m Men,Kay Arne Stenshjemmet,NOR,SILVER,1:56.81,1:56.81
1980,"Lake Placid, United States",1500m Men,Terje Andersen,NOR,BRONZE,1:56.92,1:56.92
1980,"Lake Placid, United States",5000m Men,Eric Heiden,USA,GOLD,7:02.29,7:02.29
1980,"Lake Placid, United States",5000m Men,Kay Arne Stenshjemmet,NOR,SILVER,7:03.28,7:03.28
1980,"Lake Placid, United States",5000m Men,Tom Erik Oxholm,NOR,BRONZE,7:05.59,7:05.59
1980,"Lake Placid, United States",10000m Men,Eric Heiden,USA,GOLD,14:28.13,14:28.13
1980,"Lake Placid, United States",10000m Men,Piet Kleine,NED,SILVER,14:36.03,14:36.03
1980,"Lake Placid, United States",10000m Men,Tom Erik Oxholm,NOR,BRONZE,14:36.60,14:36.60
1980,"Lake Placid, United States",500m Women,Karin Enke,GDR,GOLD,41.78,00:41.78
1980,"Lake Placid, United States",500m Women,Leah Poulos-Mueller,USA,SILVER,42.26,00:42.26
1980,"Lake Placid, United States",500m Women,Natalya Petruseva,URS,BRONZE,42.42,00:42.42
1980,"Lake Placid, United States",1000m Women,Natalya Petruseva,URS,GOLD,1:24.10,1:24.10
1980,"Lake Placid, United States",1000m Women,Leah Poulos-Mueller,USA,SILVER,1:25.41,1:25.41
1980,"Lake Placid, United States",1000m Women,Silvia Albrecht,GDR,BRONZE,1:26.46,1:26.46
1980,"Lake Placid, United States",1500m Women,Annie Borckink,NED,GOLD,2:10.95,2:10.95
1980,"Lake Placid, United States",1500m Women,Ria Visser,NED,SILVER,2:12.35,2:12.35
1980,"Lake Placid, United States",1500m Women,Sabine Becker,GDR,BRONZE,2:12.38,2:12.38
1980,"Lake Placid, United States",3000m Women,Bjørg Eva Jensen,NOR,GOLD,4:32.13,4:32.13
1980,"Lake Placid, United States",3000m Women,Sabine Becker,GDR,SILVER,4:32.79,4:32.79
1980,"Lake Placid, United States",3000m Women,Beth Heiden,USA,BRONZE,4:33.77,4:33.77
1984,"Sarajevo, Yugoslavia",500m Men,Sergey Fokichev,URS,GOLD,38.19,00:38.19
1984,"Sarajevo, Yugoslavia",500m Men,Yoshihiro Kitazawa,JPN,SILVER,38.3,00:38.30
1984,"Sarajevo, Yugoslavia",500m Men,Gaétan Boucher,CAN,BRONZE,38.39,00:38.90
1984,"Sarajevo, Yugoslavia",1000m Men,Gaétan Boucher,CAN,GOLD,1:15.80,1:15.80
1984,"Sarajevo, Yugoslavia",1000m Men,Sergey Khlebnikov,URS,SILVER,1:16.63,1:16.63
1984,"Sarajevo, Yugoslavia",1000m Men,Kai Arne Engelstad,NOR,BRONZE,1:16.75,1:16.75
1984,"Sarajevo, Yugoslavia",1500m Men,Gaétan Boucher,CAN,GOLD,1:58.36,1:58.36
1984,"Sarajevo, Yugoslavia",1500m Men,Sergey Khlebnikov,URS,SILVER,1:58.83,1:58.83
1984,"Sarajevo, Yugoslavia",1500m Men,Oleg Bozhyev,URS,BRONZE,1:58.89,1:58.89
1984,"Sarajevo, Yugoslavia",5000m Men,Tomas Gustafsson,SWE,GOLD,7:12.28,7:12.28
1984,"Sarajevo, Yugoslavia",5000m Men,Igor Malkov,URS,SILVER,7:12.30,7:12.30
1984,"Sarajevo, Yugoslavia",5000m Men,René Schöfisch,GDR,BRONZE,7:17.49,7:17.49
1984,"Sarajevo, Yugoslavia",10000m Men,Igor Malkov,URS,GOLD,14:39.90,14:39.90
1984,"Sarajevo, Yugoslavia",10000m Men,Tomas Gustafsson,SWE,SILVER,14:39.95,14:39.95
1984,"Sarajevo, Yugoslavia",10000m Men,René Schöfisch,GDR,BRONZE,14:46.91,14:46.91
1984,"Sarajevo, Yugoslavia",500m Women,Christa Rothenburger,GDR,GOLD,41.02,00:41.02
1984,"Sarajevo, Yugoslavia",500m Women,Karin Enke,GDR,SILVER,41.28,00:41.28
1984,"Sarajevo, Yugoslavia",500m Women,Natalya Shive,URS,BRONZE,41.5,00:41.50
1984,"Sarajevo, Yugoslavia",1000m Women,Karin Enke,GDR,GOLD,1:21.61,1:21.61
1984,"Sarajevo, Yugoslavia",1000m Women,Andrea Schöne,GDR,SILVER,1:22.83,1:22.83
1984,"Sarajevo, Yugoslavia",1000m Women,Natalya Petruseva,URS,BRONZE,1:23.21,1:23.21
1984,"Sarajevo, Yugoslavia",1500m Women,Karin Enke,GDR,GOLD,2:03.42,2:03.42
1984,"Sarajevo, Yugoslavia",1500m Women,Andrea Schöne,GDR,SILVER,2:05.29,2:05.29
1984,"Sarajevo, Yugoslavia",1500m Women,Natalya Petruseva,URS,BRONZE,2:05.78,2:05.78
1984,"Sarajevo, Yugoslavia",3000m Women,Andrea Schöne,GDR,GOLD,4:24.79,4:24.79
1984,"Sarajevo, Yugoslavia",3000m Women,Karin Enke,GDR,SILVER,4:26.33,4:26.33
1984,"Sarajevo, Yugoslavia",3000m Women,Gabi Zange-Schönbrunn,GDR,BRONZE,4:33.13,4:33.13
1988,"Calgary, Canada",500m Men,Uwe-Jens Mey,GDR,GOLD,36.45,00:36.45
1988,"Calgary, Canada",500m Men,Jan Ykema,NED,SILVER,36.76,00:36.76
1988,"Calgary, Canada",500m Men,Akira Kuroiwa,JPN,BRONZE,36.77,00:36.77
1988,"Calgary, Canada",1000m Men,Nikolay Gulyaev,URS,GOLD,1:13.03,1:13.03
1988,"Calgary, Canada",1000m Men,Uwe-Jens Mey,GDR,SILVER,1:13.11,1:13.11
1988,"Calgary, Canada",1000m Men,Igor Zhelezovsky,URS,BRONZE,1:13.19,1:13.19
1988,"Calgary, Canada",1500m Men,André Hoffmann,GDR,GOLD,1:52.06,1:52.06
