,X,Year,Location,Event,Athelete,Country,Medal,Time,TimeFormat,Altitude,minutes,seconds,totalseconds,MedalCode
126,126,1964,"Innsbruck, Austria",10000m Men,Knut Johannesen,NOR,BRONZE,16:06.0,16:06.0,574,960,6,966,1
129,129,1964,"Innsbruck, Austria",500m Women,Tatyana Sidorova,URS,BRONZE,45.5,00:45.5,574,0,45.5,45.5,1
132,132,1964,"Innsbruck, Austria",1000m Women,Kaija Mustonen,FIN,BRONZE,01:34.0,01:34.0,574,60,34,94,1
135,135,1964,"Innsbruck, Austria",1500m Women,Berta Kolokoltseva,URS,BRONZE,02:27.0,02:27.0,574,120,27,147,1
147,147,1968,"Grenoble, France",5000m Men,Peter Nottet,NED,BRONZE,07:25.0,07:25.0,213,420,25,445,1
150,150,1968,"Grenoble, France",10000m Men,Ã–rjan Sandler,SWE,BRONZE,15:31.0,15:31.0,213,900,31,931,1
157,157,1968,"Grenoble, France",1000m Women,Dianne Holum,USA,BRONZE,01:33.0,01:33.0,213,60,33,93,1
160,160,1968,"Grenoble, France",1500m Women,Stien Baas-Kaiser,NED,BRONZE,02:24.0,02:24.0,213,120,24,144,1
163,163,1968,"Grenoble, France",3000m Women,Stien Baas-Kaiser,NED,BRONZE,05:01.0,05:01.0,213,300,1,301,1
166,166,1972,"Sapporo, Japan",500m Men,Valery Muratov,URS,BRONZE,39.8,00:39.8,23,0,39.8,39.8,1
169,169,1972,"Sapporo, Japan",1500m Men,GÃ¶ran ClÃ_sson,SWE,BRONZE,02:05.9,02:05.9,23,120,5.89,125.89,1
172,172,1972,"Sapporo, Japan",5000m Men,Sten Stensen,NOR,BRONZE,07:33.4,07:33.4,23,420,33.39,453.39,1
175,175,1972,"Sapporo, Japan",10000m Men,Sten Stensen,NOR,BRONZE,15:07.1,15:07.1,23,900,7.08,907.08,1
178,178,1972,"Sapporo, Japan",500m Women,Lyudmila Titova,URS,BRONZE,44.45,00:44.5,23,0,44.45,44.45,1
181,181,1972,"Sapporo, Japan",1000m Women,Anne Henning,USA,BRONZE,01:31.6,01:31.6,23,60,31.62,91.62,1
184,184,1972,"Sapporo, Japan",1500m Women,Atje Keulen-Deelstra,NED,BRONZE,02:22.1,02:22.1,23,120,22.05,142.05,1
187,187,1972,"Sapporo, Japan",3000m Women,Atje Keulen-Deelstra,NED,BRONZE,04:59.9,04:59.9,23,240,59.91,299.91,1
190,190,1976,"Innsbruck, Austria",500m Men,Daniel Immerfall,USA,BRONZE,39.54,00:39.5,574,0,39.54,39.54,1
193,193,1976,"Innsbruck, Austria",1000m Men,Valery Muratov,URS,BRONZE,01:20.6,01:20.6,574,60,20.57,80.57,1
196,196,1976,"Innsbruck, Austria",1500m Men,Hans van Helden,NED,BRONZE,02:00.9,02:00.9,574,120,0.87,120.87,1
199,199,1976,"Innsbruck, Austria",5000m Men,Hans van Helden,NED,BRONZE,07:26.5,07:26.5,574,420,26.54,446.54,1
202,202,1976,"Innsbruck, Austria",10000m Men,Hans van Helden,NED,BRONZE,15:02.0,15:02.0,574,900,2.02,902.02,1
205,205,1976,"Innsbruck, Austria",500m Women,Tatyana Averina,URS,BRONZE,43.17,00:43.2,574,0,43.17,43.17,1
208,208,1976,"Innsbruck, Austria",1000m Women,Sheila Young,USA,BRONZE,01:29.1,01:29.1,574,60,29.14,89.14,1
211,211,1976,"Innsbruck, Austria",1500m Women,Tatyana Averina,URS,BRONZE,02:18.0,02:18.0,574,120,17.96,137.96,1
214,214,1976,"Innsbruck, Austria",3000m Women,Lisbeth Korsmo-Berg,NOR,BRONZE,04:45.2,04:45.2,574,240,45.24,285.24,1
217,217,1980,"Lake Placid, United States",500m Men,Lieuwe de Boer,NED,BRONZE,38.48,00:38.5,568,0,38.48,38.48,1
220,220,1980,"Lake Placid, United States",1000m Men,Vladimir Lobanov,URS,BRONZE,01:16.9,01:16.9,568,60,16.91,76.91,1
221,221,1980,"Lake Placid, United States",1000m Men,Frode RÃ¸nning,NOR,BRONZE,01:16.9,01:16.9,568,60,16.91,76.91,1
224,224,1980,"Lake Placid, United States",1500m Men,Terje Andersen,NOR,BRONZE,01:56.9,01:56.9,568,60,56.92,116.92,1
227,227,1980,"Lake Placid, United States",5000m Men,Tom Erik Oxholm,NOR,BRONZE,07:05.6,07:05.6,568,420,5.59,425.59,1
230,230,1980,"Lake Placid, United States",10000m Men,Tom Erik Oxholm,NOR,BRONZE,14:36.6,14:36.6,568,840,36.6,876.6,1
233,233,1980,"Lake Placid, United States",500m Women,Natalya Petruseva,URS,BRONZE,42.42,00:42.4,568,0,42.42,42.42,1
236,236,1980,"Lake Placid, United States",1000m Women,Silvia Albrecht,GDR,BRONZE,01:26.5,01:26.5,568,60,26.46,86.46,1
239,239,1980,"Lake Placid, United States",1500m Women,Sabine Becker,GDR,BRONZE,02:12.4,02:12.4,568,120,12.38,132.38,1
242,242,1980,"Lake Placid, United States",3000m Women,Beth Heiden,USA,BRONZE,04:33.8,04:33.8,568,240,33.77,273.77,1
245,245,1984,"Sarajevo, Yugoslavia",500m Men,GaÃ©tan Boucher,CAN,BRONZE,38.39,00:38.9,500,0,38.9,38.9,1
248,248,1984,"Sarajevo, Yugoslavia",1000m Men,Kai Arne Engelstad,NOR,BRONZE,01:16.8,01:16.8,500,60,16.75,76.75,1
251,251,1984,"Sarajevo, Yugoslavia",1500m Men,Oleg Bozhyev,URS,BRONZE,01:58.9,01:58.9,500,60,58.89,118.89,1
254,254,1984,"Sarajevo, Yugoslavia",5000m Men,RenÃ© SchÃ¶fisch,GDR,BRONZE,07:17.5,07:17.5,500,420,17.49,437.49,1
257,257,1984,"Sarajevo, Yugoslavia",10000m Men,RenÃ© SchÃ¶fisch,GDR,BRONZE,14:46.9,14:46.9,500,840,46.91,886.91,1
260,260,1984,"Sarajevo, Yugoslavia",500m Women,Natalya Shive,URS,BRONZE,41.5,00:41.5,500,0,41.5,41.5,1
263,263,1984,"Sarajevo, Yugoslavia",1000m Women,Natalya Petruseva,URS,BRONZE,01:23.2,01:23.2,500,60,23.21,83.21,1
266,266,1984,"Sarajevo, Yugoslavia",1500m Women,Natalya Petruseva,URS,BRONZE,02:05.8,02:05.8,500,120,5.78,125.78,1
269,269,1984,"Sarajevo, Yugoslavia",3000m Women,Gabi Zange-SchÃ¶nbrunn,GDR,BRONZE,04:33.1,04:33.1,500,240,33.13,273.13,1
272,272,1988,"Calgary, Canada",500m Men,Akira Kuroiwa,JPN,BRONZE,36.77,00:36.8,1048,0,36.77,36.77,1
275,275,1988,"Calgary, Canada",1000m Men,Igor Zhelezovsky,URS,BRONZE,01:13.2,01:13.2,1048,60,13.19,73.19,1
278,278,1988,"Calgary, Canada",1500m Men,Michael Hadschieff,AUT,BRONZE,01:52.3,01:52.3,1048,60,52.31,112.31,1
281,281,1988,"Calgary, Canada",5000m Men,Gerard Kemkers,NED,BRONZE,06:45.9,06:45.9,1048,360,45.92,405.92,1
284,284,1988,"Calgary, Canada",10000m Men,Leo Visser,NED,BRONZE,14:00.6,14:00.6,1048,840,0.55,840.55,1
287,287,1988,"Calgary, Canada",500m Women,Karin Enke,GDR,BRONZE,39.24,00:39.2,1048,0,39.24,39.24,1
290,290,1988,"Calgary, Canada",1000m Women,Bonnie Blair,USA,BRONZE,01:18.3,01:18.3,1048,60,18.31,78.31,1
293,293,1988,"Calgary, Canada",1500m Women,Andrea SchÃ¶ne,GDR,BRONZE,02:01.5,02:01.5,1048,120,1.49,121.49,1
296,296,1988,"Calgary, Canada",3000m Women,Gabi Zange-SchÃ¶nbrunn,GDR,BRONZE,04:16.9,04:16.9,1048,240,16.92,256.92,1
299,299,1988,"Calgary, Canada",5000m Women,Gabi Zange-SchÃ¶nbrunn,GDR,BRONZE,07:21.6,07:21.6,1048,420,21.61,441.61,1
302,302,1992,"Albertville, France",500m Men,Junichi Inoue,JPN,BRONZE,37.26,00:37.3,352,0,37.26,37.26,1
305,305,1992,"Albertville, France",1000m Men,Yukinori Miyabe,JPN,BRONZE,01:14.9,01:14.9,352,60,14.92,74.92,1
308,308,1992,"Albertville, France",1500m Men,Leo Visser,NED,BRONZE,01:54.9,01:54.9,352,60,54.9,114.9,1
311,311,1992,"Albertville, France",5000m Men,Leo Visser,NED,BRONZE,07:05.0,07:05.0,352,420,4.96,424.96,1
314,314,1992,"Albertville, France",10000m Men,Geir Karlstad,NOR,BRONZE,14:18.1,14:18.1,352,840,18.13,858.13,1
317,317,1992,"Albertville, France",500m Women,Christa Rothenburger,GER,BRONZE,40.57,00:40.6,352,0,40.57,40.57,1
320,320,1992,"Albertville, France",1000m Women,Monique Garbrecht,GER,BRONZE,01:22.1,01:22.1,352,60,22.1,82.1,1
323,323,1992,"Albertville, France",1500m Women,Seiko Hashimoto,JPN,BRONZE,02:06.9,02:06.9,352,120,6.88,126.88,1
326,326,1992,"Albertville, France",3000m Women,Emese Hunyady,AUT,BRONZE,04:24.6,04:24.6,352,240,24.64,264.64,1
329,329,1992,"Albertville, France",5000m Women,Claudia Pechstein,GER,BRONZE,07:39.8,07:39.8,352,420,39.8,459.8,1
332,332,1992,"Albertville, France",1000m Short Track Men,Joon-Ho Lee,KOR,BRONZE,01:31.2,01:31.2,352,60,31.16,91.16,1
341,341,1992,"Albertville, France",5000m Short Track Relay Men,Yuichi Akasaka,JPN,BRONZE,07:18.2,07:18.2,352,420,18.18,438.18,1
342,342,1992,"Albertville, France",5000m Short Track Relay Men,Tatsuyoshi Ishihara,JPN,BRONZE,07:18.2,07:18.2,352,420,18.18,438.18,1
343,343,1992,"Albertville, France",5000m Short Track Relay Men,Toshinobu Kawai,JPN,BRONZE,07:18.2,07:18.2,352,420,18.18,438.18,1
344,344,1992,"Albertville, France",5000m Short Track Relay Men,Tsutomu Kawasaki,JPN,BRONZE,07:18.2,07:18.2,352,420,18.18,438.18,1
347,347,1992,"Albertville, France",500m Short Track Women,Ok-Sil Hwang,PRK,BRONZE,47.23,00:47.2,352,0,47.23,47.23,1
356,356,1992,"Albertville, France",3000m Short Track Relay Women,Natalya Isakova,URS,BRONZE,04:42.7,04:42.7,352,240,42.69,282.69,1
357,357,1992,"Albertville, France",3000m Short Track Relay Women,Yuliya Allagulova,URS,BRONZE,04:42.7,04:42.7,352,240,42.69,282.69,1
358,358,1992,"Albertville, France",3000m Short Track Relay Women,Viktoriya Taranina,URS,BRONZE,04:42.7,04:42.7,352,240,42.69,282.69,1
359,359,1992,"Albertville, France",3000m Short Track Relay Women,Yuliya Vlasova,URS,BRONZE,04:42.7,04:42.7,352,240,42.69,282.69,1
362,362,1994,"Lillehammer, Norway",500m Men,Manabu Horii,JPN,BRONZE,36.53,00:36.5,180,0,36.53,36.53,1
365,365,1994,"Lillehammer, Norway",1000m Men,Sergey Klevchenya,RUS,BRONZE,01:12.9,01:12.9,180,60,12.85,72.85,1
368,368,1994,"Lillehammer, Norway",1500m Men,Falko Zandstra,NED,BRONZE,01:52.4,01:52.4,180,60,52.38,112.38,1
371,371,1994,"Lillehammer, Norway",5000m Men,Rintje Ritsma,NED,BRONZE,06:43.9,06:43.9,180,360,43.94,403.94,1
374,374,1994,"Lillehammer, Norway",10000m Men,Bart Veldkamp,NED,BRONZE,13:56.7,13:56.7,180,780,56.73,836.73,1
377,377,1994,"Lillehammer, Norway",500m Women,Franziska Schenk,GER,BRONZE,39.7,00:39.7,180,0,39.7,39.7,1
380,380,1994,"Lillehammer, Norway",1000m Women,Qiaobo Ye,CHN,BRONZE,01:20.2,01:20.2,180,60,20.22,80.22,1
383,383,1994,"Lillehammer, Norway",1500m Women,Gunda Niemann,GER,BRONZE,02:03.4,02:03.4,180,120,3.41,123.41,1
386,386,1994,"Lillehammer, Norway",3000m Women,Claudia Pechstein,GER,BRONZE,04:18.3,04:18.3,180,240,18.34,258.34,1
389,389,1994,"Lillehammer, Norway",5000m Women,Hiromi Yamamoto,JPN,BRONZE,07:19.7,07:19.7,180,420,19.68,439.68,1
392,392,1994,"Lillehammer, Norway",500m Short Track Men,Nicholas Gooch,GBR,BRONZE,43.68,00:43.7,180,0,43.68,43.68,1
395,395,1994,"Lillehammer, Norway",1000m Short Track Men,Marc Gagnon,CAN,BRONZE,01:33.0,01:33.0,180,60,33.03,93.03,1
404,404,1994,"Lillehammer, Norway",5000m Short Track Relay Men,Steven Bradbury,AUS,BRONZE,07:13.7,07:13.7,180,420,13.68,433.68,1
405,405,1994,"Lillehammer, Norway",5000m Short Track Relay Men,Andrew Murtha,AUS,BRONZE,07:13.7,07:13.7,180,420,13.68,433.68,1
406,406,1994,"Lillehammer, Norway",5000m Short Track Relay Men,Kieran Hansen,AUS,BRONZE,07:13.7,07:13.7,180,420,13.68,433.68,1
407,407,1994,"Lillehammer, Norway",5000m Short Track Relay Men,Richard Nizielski,AUS,BRONZE,07:13.7,07:13.7,180,420,13.68,433.68,1
410,410,1994,"Lillehammer, Norway",500m Short Track Women,Amy Peterson,USA,BRONZE,46.76,00:46.8,180,0,46.76,46.76,1
413,413,1994,"Lillehammer, Norway",1000m Short Track Women,So-Hee Kim,KOR,BRONZE,01:37.1,01:37.1,180,60,37.09,97.09,1
422,422,1994,"Lillehammer, Norway",3000m Short Track Relay Women,Karen Cashman,USA,BRONZE,04:39.3,04:39.3,180,240,39.34,279.34,1
423,423,1994,"Lillehammer, Norway",3000m Short Track Relay Women,Cathy Turner,USA,BRONZE,04:39.3,04:39.3,180,240,39.34,279.34,1
424,424,1994,"Lillehammer, Norway",3000m Short Track Relay Women,Amy Peterson,USA,BRONZE,04:39.3,04:39.3,180,240,39.34,279.34,1
425,425,1994,"Lillehammer, Norway",3000m Short Track Relay Women,Nikki Ziegelmeyer,USA,BRONZE,04:39.3,04:39.3,180,240,39.34,279.34,1
428,428,1998,"Nagano, Japan",500m Men,Kevin Overland,CAN,BRONZE,01:11.9,01:11.9,300,60,11.86,71.86,1
431,431,1998,"Nagano, Japan",1000m Men,Hiroyasu Shimizu,JPN,BRONZE,01:11.0,01:11.0,300,60,11,71,1
434,434,1998,"Nagano, Japan",1500m Men,Rintje Ritsma,NED,BRONZE,01:48.5,01:48.5,300,60,48.52,108.52,1
437,437,1998,"Nagano, Japan",5000m Men,Bart Veldkamp,BEL,BRONZE,06:28.3,06:28.3,300,360,28.31,388.31,1
440,440,1998,"Nagano, Japan",10000m Men,Rintje Ritsma,NED,BRONZE,13:28.2,13:28.2,300,780,28.19,808.19,1
443,443,1998,"Nagano, Japan",500m Women,Tomomi Okazaki,JPN,BRONZE,01:17.1,01:17.1,300,60,17.1,77.1,1
446,446,1998,"Nagano, Japan",1000m Women,Catriona Lemay-Doan,CAN,BRONZE,01:17.4,01:17.4,300,60,17.37,77.37,1
449,449,1998,"Nagano, Japan",1500m Women,Christine Witty,USA,BRONZE,01:59.0,01:59.0,300,60,58.97,118.97,1
452,452,1998,"Nagano, Japan",3000m Women,Anna Friesinger,GER,BRONZE,04:09.4,04:09.4,300,240,9.44,249.44,1
455,455,1998,"Nagano, Japan",5000m Women,Lyudmila Prokasheva,KAZ,BRONZE,07:11.1,07:11.1,300,420,11.14,431.14,1
458,458,1998,"Nagano, Japan",500m Short Track Men,Hitoshi Uematsu,JPN,BRONZE,43.713,00:43.7,300,0,43.713,43.713,1
461,461,1998,"Nagano, Japan",1000m Short Track Men,Ã‰ric BÃ©dard,CAN,BRONZE,01:32.7,01:32.7,300,60,32.661,92.661,1
470,470,1998,"Nagano, Japan",5000m Short Track Relay Men,Jiajun Li,CHN,BRONZE,07:11.6,07:11.6,300,420,11.559,431.559,1
471,471,1998,"Nagano, Japan",5000m Short Track Relay Men,Yulong An,CHN,BRONZE,07:11.6,07:11.6,300,420,11.559,431.559,1
472,472,1998,"Nagano, Japan",5000m Short Track Relay Men,Kai Feng,CHN,BRONZE,07:11.6,07:11.6,300,420,11.559,431.559,1
473,473,1998,"Nagano, Japan",5000m Short Track Relay Men,Ye Yuan,CHN,BRONZE,07:11.6,07:11.6,300,420,11.559,431.559,1
476,476,1998,"Nagano, Japan",500m Short Track Women,Lee-Kyung Chun,KOR,BRONZE,46.335,00:46.3,300,0,46.335,46.335,1
479,479,1998,"Nagano, Japan",1000m Short Track Women,Hye-Kyung Won,KOR,BRONZE,01:43.4,01:43.4,300,60,43.361,103.361,1
488,488,1998,"Nagano, Japan",3000m Short Track Relay Women,Tania Vicent,CAN,BRONZE,04:21.2,04:21.2,300,240,21.205,261.205,1
489,489,1998,"Nagano, Japan",3000m Short Track Relay Women,Annie Perreault,CAN,BRONZE,04:21.2,04:21.2,300,240,21.205,261.205,1
490,490,1998,"Nagano, Japan",3000m Short Track Relay Women,Isabelle Charest,CAN,BRONZE,04:21.2,04:21.2,300,240,21.205,261.205,1
491,491,1998,"Nagano, Japan",3000m Short Track Relay Women,Christine Boudrias,CAN,BRONZE,04:21.2,04:21.2,300,240,21.205,261.205,1
494,494,2002,"Salt Lake City, United States",500m Men,Kip Carpenter,USA,BRONZE,69.47,01:09.5,1320,0,69.47,69.47,1
497,497,2002,"Salt Lake City, United States",1000m Men,Joey Cheek,USA,BRONZE,01:07.6,01:07.6,1320,60,7.61,67.61,1
500,500,2002,"Salt Lake City, United States",1500m Men,Ã…dne SÃ¸ndrÃ¥l,NOR,BRONZE,01:45.3,01:45.3,1320,60,45.26,105.26,1
503,503,2002,"Salt Lake City, United States",5000m Men,Jens Boden,GER,BRONZE,06:21.7,06:21.7,1320,360,21.73,381.73,1
506,506,2002,"Salt Lake City, United States",10000m Men,Lasse SÃ_tre,NOR,BRONZE,13:16.9,13:16.9,1320,780,16.92,796.92,1
509,509,2002,"Salt Lake City, United States",500m Women,Sabine VÃ¶lker,GER,BRONZE,01:15.2,01:15.2,1320,60,15.19,75.19,1
512,512,2002,"Salt Lake City, United States",1000m Women,Jennifer Rodriguez,USA,BRONZE,01:14.2,01:14.2,1320,60,14.24,74.24,1
515,515,2002,"Salt Lake City, United States",1500m Women,Jennifer Rodriguez,USA,BRONZE,01:55.3,01:55.3,1320,60,55.32,115.32,1
518,518,2002,"Salt Lake City, United States",3000m Women,Cindy Klassen,CAN,BRONZE,03:59.0,03:59.0,1320,180,58.97,238.97,1
521,521,2002,"Salt Lake City, United States",5000m Women,Clara Hughes,CAN,BRONZE,06:53.5,06:53.5,1320,360,53.53,413.53,1
524,524,2002,"Salt Lake City, United States",500m Short Track Men,Rusty Smith,USA,BRONZE,42.027,00:42.0,1320,0,42.027,42.027,1
527,527,2002,"Salt Lake City, United States",1000m Short Track Men,Mathieu Turcotte,CAN,BRONZE,01:30.6,01:30.6,1320,60,30.563,90.563,1
536,536,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Kai Feng,CHN,BRONZE,06:59.6,06:59.6,1320,360,59.633,419.633,1
537,537,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Wei Guo,CHN,BRONZE,06:59.6,06:59.6,1320,360,59.633,419.633,1
538,538,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Ye Li,CHN,BRONZE,06:59.6,06:59.6,1320,360,59.633,419.633,1
539,539,2002,"Salt Lake City, United States",5000m Short Track Relay Men,Jiajun Li,CHN,BRONZE,06:59.6,06:59.6,1320,360,59.633,419.633,1
542,542,2002,"Salt Lake City, United States",1500m Short Track Men,Marc Gagnon,CAN,BRONZE,02:18.8,02:18.8,1320,120,18.806,138.806,1
545,545,2002,"Salt Lake City, United States",500m Short Track Women,Chunlu Wang,CHN,BRONZE,44.272,00:44.3,1320,0,44.272,44.272,1
548,548,2002,"Salt Lake City, United States",1000m Short Track Women,Yang (S) Yang,CHN,BRONZE,01:37.0,01:37.0,1320,60,37.008,97.008,1
557,557,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Marie-Eve Drolet,CAN,BRONZE,04:15.7,04:15.7,1320,240,15.738,255.738,1
558,558,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Isabelle Charest,CAN,BRONZE,04:15.7,04:15.7,1320,240,15.738,255.738,1
559,559,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Amelie Goulet-Nadon,CAN,BRONZE,04:15.7,04:15.7,1320,240,15.738,255.738,1
560,560,2002,"Salt Lake City, United States",3000m Short Track Relay Women,Alanna Kraus,CAN,BRONZE,04:15.7,04:15.7,1320,240,15.738,255.738,1
563,563,2002,"Salt Lake City, United States",1500m Short Track Women,Evgenia Radanova,BUL,BRONZE,02:31.7,02:31.7,1320,120,31.723,151.723,1
566,566,2006,"Turin, Italy",500m Men,Ahn Hyun-Soo,KOR,BRONZE,70.43,01:10.4,239,0,70.43,70.43,1
569,569,2006,"Turin, Italy",1000m Men,Erben Wennemars,NED,BRONZE,01:09.3,01:09.3,239,60,9.3,69.3,1
572,572,2006,"Turin, Italy",1500m Men,Chad Hedrick,USA,BRONZE,01:46.2,01:46.2,239,60,46.2,106.2,1
575,575,2006,"Turin, Italy",5000m Men,Enrico Fabris,ITA,BRONZE,06:18.2,06:18.2,239,360,18.2,378.2,1
578,578,2006,"Turin, Italy",10000m Men,Carl Verheijen,NED,BRONZE,13:08.8,13:08.8,239,780,8.8,788.8,1
588,588,2006,"Turin, Italy",Team Pursuit Men,Erben Wennemars,NED,BRONZE,03:44.5,03:44.5,239,180,44.5,224.5,1
589,589,2006,"Turin, Italy",Team Pursuit Men,Rintje Ritsma,NED,BRONZE,03:44.5,03:44.5,239,180,44.5,224.5,1
590,590,2006,"Turin, Italy",Team Pursuit Men,Carl Verheijen,NED,BRONZE,03:44.5,03:44.5,239,180,44.5,224.5,1
591,591,2006,"Turin, Italy",Team Pursuit Men,Mark Tuitert,NED,BRONZE,03:44.5,03:44.5,239,180,44.5,224.5,1
592,592,2006,"Turin, Italy",Team Pursuit Men,Sven Kramer,NED,BRONZE,03:44.5,03:44.5,239,180,44.5,224.5,1
595,595,2006,"Turin, Italy",500m Women,Ren Hui,CHN,BRONZE,76.87,01:16.9,239,0,76.87,76.87,1
598,598,2006,"Turin, Italy",1000m Women,Anna Friesinger,GER,BRONZE,01:16.1,01:16.1,239,60,16.1,76.1,1
601,601,2006,"Turin, Italy",1500m Women,Ireen WÃ_st,NED,BRONZE,01:56.9,01:56.9,239,60,56.9,116.9,1
604,604,2006,"Turin, Italy",3000m Women,Cindy Klassen,CAN,BRONZE,04:04.4,04:04.4,239,240,4.4,244.4,1
